City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
aanekoski,62.69,25.82,59.0,82,24,10.29,FI,1597551915
qaanaaq,77.48,-69.36,34.36,85,3,3.8,GL,1597551794
ushuaia,-54.8,-68.3,33.8,80,90,6.93,AR,1597551726
iqaluit,63.75,-68.51,46.4,93,90,19.46,CA,1597551730
vila velha,-20.33,-40.29,75.99,83,75,3.36,BR,1597551916
new norfolk,-42.78,147.06,55.0,88,100,4.56,AU,1597551916
lopatino,52.62,45.81,52.27,82,87,13.91,RU,1597551917
punta arenas,-53.15,-70.92,33.8,86,78,35.57,CL,1597551730
cidreira,-30.18,-50.21,58.28,85,67,13.31,BR,1597551784
sorland,67.67,12.69,50.97,67,99,16.75,NO,1597551917
kloulklubed,7.04,134.26,84.2,74,75,9.17,PW,1597551818
atar,20.52,-13.05,96.04,26,1,5.64,MR,1597551918
johi,26.69,67.61,98.31,46,98,7.52,PK,1597551918
bambous virieux,-20.34,57.76,73.4,60,40,17.22,MU,1597551918
kapaa,22.08,-159.32,82.4,69,1,11.41,US,1597551766
san cristobal,7.77,-72.22,66.42,91,99,2.26,VE,1597551918
port elizabeth,-33.92,25.57,48.2,76,20,13.87,ZA,1597551769
san rafael,-34.62,-68.33,44.1,51,0,7.47,AR,1597551919
bua yai,15.59,102.43,80.17,75,100,13.09,TH,1597551919
butaritari,3.07,172.79,82.29,70,81,11.95,KI,1597551766
bredasdorp,-34.53,20.04,44.6,93,47,10.29,ZA,1597551920
tallahassee,30.44,-84.28,80.01,88,1,4.7,US,1597551768
puerto ayora,-0.74,-90.35,66.0,87,39,5.01,EC,1597551920
port blair,11.67,92.75,84.81,75,68,14.76,IN,1597551653
guerrero negro,27.98,-114.06,77.79,56,0,9.89,MX,1597551649
san patricio,19.22,-104.7,81.25,75,97,4.21,MX,1597551921
ancud,-41.87,-73.82,46.0,87,75,6.93,CL,1597551921
moose factory,51.26,-80.61,68.0,94,90,8.05,CA,1597551921
airai,-8.93,125.41,79.0,35,8,5.55,TL,1597551922
saint george,37.1,-113.58,98.6,9,1,3.36,US,1597551922
faya,18.39,42.45,66.2,63,67,4.59,SA,1597551835
havoysund,71.0,24.66,48.2,76,42,38.03,NO,1597551922
hermanus,-34.42,19.23,46.99,87,78,3.0,ZA,1597551922
busselton,-33.65,115.33,59.0,49,18,20.13,AU,1597551923
soledad,10.92,-74.76,80.6,88,40,9.17,CO,1597551923
hilo,19.73,-155.09,80.6,69,90,6.93,US,1597551724
ponta do sol,32.67,-17.1,71.6,64,40,14.99,PT,1597551923
sarana,56.48,57.73,50.61,94,100,8.68,RU,1597551924
behbahan,30.6,50.24,87.8,25,0,6.93,IR,1597551924
kodiak,57.79,-152.41,73.4,35,1,4.7,US,1597551837
hearst,49.68,-83.67,56.05,91,71,2.62,CA,1597551924
rikitea,-23.12,-134.97,71.2,76,0,15.57,PF,1597551770
catuday,16.29,119.81,83.05,73,46,6.96,PH,1597551925
chuy,-33.7,-53.46,44.56,69,0,9.1,UY,1597551785
iwanai,42.97,140.51,79.18,62,98,4.34,JP,1597551925
ola,59.58,151.28,63.07,59,54,4.34,RU,1597551926
vikulovo,56.82,70.61,62.42,65,77,11.1,RU,1597551926
albany,42.6,-73.97,68.0,67,81,5.08,US,1597551926
pevek,69.7,170.31,43.61,72,11,2.42,RU,1597551926
bluff,-46.6,168.33,48.99,74,49,4.0,NZ,1597551927
kursk,51.73,36.19,55.99,87,75,4.47,RU,1597551927
agudos,-22.47,-48.99,66.99,68,100,5.01,BR,1597551927
busayra,30.74,35.61,65.21,49,0,1.3,JO,1597551927
high level,58.52,-117.14,57.2,82,40,3.36,CA,1597551927
lavrentiya,65.58,-171.0,56.89,56,0,3.89,RU,1597551928
avarua,-21.21,-159.78,73.4,94,2,9.17,CK,1597551768
tignere,7.37,12.65,64.11,99,100,2.75,CM,1597551928
nannilam,10.88,79.61,88.59,50,100,11.48,IN,1597551929
mahebourg,-20.41,57.7,73.4,60,40,17.22,MU,1597551929
nerchinskiy zavod,51.31,119.61,67.93,71,77,4.99,RU,1597551929
zheleznodorozhnyy,55.75,38.0,59.0,93,68,2.17,RU,1597551929
castro,-24.79,-50.01,59.92,94,100,12.03,BR,1597551929
izalco,13.74,-89.67,73.0,95,99,2.44,SV,1597551930
jamestown,42.1,-79.24,66.2,82,1,5.82,US,1597551918
guangyuan,32.44,105.82,72.0,94,100,1.01,CN,1597551930
hirara,24.8,125.28,87.8,74,75,10.29,JP,1597551930
yablonovo,50.85,37.36,55.4,71,64,6.71,RU,1597551930
kaili,-3.46,120.21,72.21,91,100,0.74,ID,1597551931
amapa,1.0,-52.0,72.37,90,66,2.62,BR,1597551931
samarai,-10.62,150.67,77.59,72,20,12.66,PG,1597551931
hambantota,6.12,81.12,84.2,79,40,9.17,LK,1597551932
caravelas,-17.71,-39.25,71.26,94,50,4.18,BR,1597551932
todos santos,23.45,-110.22,82.0,78,0,3.58,MX,1597551932
dingle,11.0,122.67,86.0,75,78,6.6,PH,1597551932
urucara,-2.54,-57.76,80.73,57,75,2.33,BR,1597551932
carnarvon,-24.87,113.63,69.8,60,5,17.22,AU,1597551933
tasiilaq,65.61,-37.64,44.6,81,100,13.87,GL,1597551770
acoua,-12.72,45.06,77.0,83,75,11.41,YT,1597551933
reconquista,-29.15,-59.65,46.42,60,0,4.05,AR,1597551933
meadow lake,34.8,-106.54,77.0,41,20,6.93,US,1597551933
bandarbeyla,9.49,50.81,76.68,67,99,30.36,SO,1597551772
kassala,15.45,36.4,79.14,64,98,15.73,SD,1597551934
saint-philippe,-21.36,55.77,71.6,49,20,4.7,RE,1597551934
piacabucu,-10.41,-36.43,72.86,88,0,5.77,BR,1597551934
aguimes,27.91,-15.45,71.6,78,20,25.28,ES,1597551935
igarka,67.47,86.58,65.59,53,48,16.49,RU,1597551935
nanortalik,60.14,-45.24,41.77,80,80,8.61,GL,1597551935
thompson,55.74,-97.86,55.4,82,20,6.93,CA,1597551797
sault sainte marie,46.52,-84.33,64.4,88,20,9.17,CA,1597551815
dikson,73.51,80.55,43.5,88,22,2.89,RU,1597551786
vaini,-21.2,-175.2,71.6,68,40,14.99,TO,1597551742
cape town,-33.93,18.42,46.99,93,20,6.93,ZA,1597551689
sur,22.57,59.53,85.55,63,92,12.28,OM,1597551834
kangaatsiaq,68.31,-53.46,41.38,75,0,3.71,GL,1597551937
mataura,-46.19,168.86,48.99,74,27,4.0,NZ,1597551776
palmer,42.16,-72.33,62.6,88,1,3.36,US,1597551937
ribeira grande,38.52,-28.7,73.47,85,36,18.54,PT,1597551938
kaitangata,-46.28,169.85,46.99,78,67,8.01,NZ,1597551731
sao filipe,14.9,-24.5,77.9,85,13,8.19,CV,1597551938
norman wells,65.28,-126.83,59.0,77,75,10.29,CA,1597551775
guarda,40.54,-7.27,48.0,87,18,3.33,PT,1597551939
egvekinot,66.32,-179.17,57.16,56,65,8.72,RU,1597551939
tucuman,-26.82,-65.22,46.4,81,0,3.36,AR,1597551939
fukue,32.69,128.84,87.8,79,75,8.05,JP,1597551939
bethel,41.37,-73.41,66.99,77,75,5.82,US,1597551794
bubaque,11.28,-15.83,78.85,85,100,7.25,GW,1597551940
bathsheba,13.22,-59.52,82.4,78,40,6.93,BB,1597551940
tiznit,29.58,-9.5,70.02,27,0,1.7,MA,1597551940
port pirie,-33.18,138.02,57.2,82,51,10.29,AU,1597551940
georgetown,5.41,100.34,89.6,66,20,4.7,MY,1597551930
oytal,42.91,73.27,87.13,19,6,3.87,KZ,1597551941
saldanha,-33.01,17.94,42.8,93,5,3.36,ZA,1597551941
alofi,-19.06,-169.92,75.2,64,0,10.29,NU,1597551941
magadan,59.57,150.8,61.52,65,80,4.65,RU,1597551942
atuona,-9.8,-139.03,78.24,74,21,13.42,PF,1597551776
cordele,31.96,-83.78,75.2,94,1,7.0,US,1597551942
hobart,-42.88,147.33,55.4,82,75,11.41,AU,1597551729
balkanabat,39.51,54.37,79.99,37,12,4.32,TM,1597551942
rosetta,31.4,30.42,78.8,83,20,8.05,EG,1597551942
gat,31.61,34.76,75.99,85,0,4.88,IL,1597551758
nabire,-3.37,135.48,87.17,60,11,5.32,ID,1597551653
hithadhoo,-0.6,73.08,83.48,71,17,4.97,MV,1597551943
castle douglas,54.94,-3.93,60.01,93,86,3.0,GB,1597551943
ejido,8.55,-71.24,66.31,62,82,5.86,VE,1597551943
khartoum,15.55,32.53,84.2,66,66,10.29,SD,1597551944
provideniya,64.38,-173.3,57.25,59,2,9.71,RU,1597551743
mar del plata,-38.0,-57.56,43.0,64,0,5.82,AR,1597551786
paamiut,61.99,-49.67,44.19,73,0,4.97,GL,1597551944
saskylakh,71.92,114.08,64.02,39,21,9.71,RU,1597551944
kruisfontein,-34.0,24.73,45.0,70,10,1.99,ZA,1597551792
geraldton,-28.77,114.6,62.6,55,75,21.92,AU,1597551945
buchanan,5.88,-10.05,75.07,84,93,12.39,LR,1597551945
tuktoyaktuk,69.45,-133.04,50.0,71,90,6.93,CA,1597551945
tanabe,33.73,135.37,93.2,56,20,18.34,JP,1597551945
saint-joseph,-21.37,55.62,71.6,49,20,4.7,RE,1597551946
hualmay,-11.1,-77.61,58.06,85,25,10.0,PE,1597551776
umm lajj,25.02,37.27,84.18,65,73,3.18,SA,1597551946
east london,-33.02,27.91,50.0,71,9,16.11,ZA,1597551946
colesberg,-30.72,25.1,31.5,96,0,9.35,ZA,1597551946
nikolskoye,59.7,30.79,62.6,93,40,8.95,RU,1597551947
purpe,64.48,76.69,54.0,94,100,11.7,RU,1597551947
arraial do cabo,-22.97,-42.03,72.55,78,56,8.7,BR,1597551947
conceicao do araguaia,-8.26,-49.26,75.96,41,52,1.63,BR,1597551947
thessalon,46.25,-83.57,66.2,93,90,4.72,CA,1597551948
kahului,20.89,-156.47,84.2,54,1,21.92,US,1597551872
kavieng,-2.57,150.8,84.38,67,13,3.62,PG,1597551948
fortuna,40.6,-124.16,66.99,67,0,1.79,US,1597551948
ilulissat,69.22,-51.1,37.4,69,0,4.7,GL,1597551949
victoria,22.29,114.16,91.0,59,89,8.99,HK,1597551670
sitka,57.05,-135.33,55.4,93,90,6.93,US,1597551775
krasnoselkup,65.7,82.47,62.62,76,100,13.71,RU,1597551950
broome,42.25,-75.83,68.0,82,90,9.17,US,1597551950
marsh harbour,26.54,-77.06,83.08,73,0,8.57,BS,1597551950
grand gaube,-20.01,57.66,73.0,65,74,7.0,MU,1597551950
tiruchchendur,8.48,78.12,87.8,58,20,13.87,IN,1597551951
okha,53.57,142.95,58.86,80,84,16.89,RU,1597551951
batagay-alyta,67.8,130.41,41.97,67,96,3.02,RU,1597551951
dhidhdhoo,6.88,73.1,82.8,73,97,6.96,MV,1597551951
maryborough,-25.53,152.7,71.31,39,0,8.28,AU,1597551951
avera,33.19,-82.53,73.4,85,75,3.36,US,1597551952
chokurdakh,70.63,147.92,43.07,71,94,10.22,RU,1597551846
tawang,27.58,91.87,71.53,51,10,6.67,IN,1597551952
severo-kurilsk,50.68,156.12,54.57,79,100,6.64,RU,1597551793
nemuro,43.32,145.57,73.4,83,75,6.93,JP,1597551952
aneho,6.23,1.6,75.2,94,20,5.82,TG,1597551953
hasaki,35.73,140.83,93.0,66,40,14.99,JP,1597551953
lata,40.16,-8.33,61.0,86,28,1.39,PT,1597551953
lebu,-37.62,-73.65,43.81,73,31,7.74,CL,1597551954
chastyye,57.29,54.97,54.27,78,74,11.39,RU,1597551954
manuk mangkaw,4.8,119.85,84.36,68,5,6.53,PH,1597551954
port alfred,-33.59,26.89,49.84,69,72,18.01,ZA,1597551748
hamilton,39.18,-84.53,75.0,94,40,2.82,US,1597551955
jingdezhen,29.29,117.21,94.8,51,0,4.68,CN,1597551955
simpang,-1.27,104.08,89.08,57,3,5.06,ID,1597551955
taltal,-25.4,-70.48,51.03,73,33,1.28,CL,1597551955
jacmel,18.23,-72.53,79.32,81,39,2.06,HT,1597551956
khatanga,71.97,102.5,68.27,45,0,4.38,RU,1597551846
nieuw nickerie,5.95,-56.98,80.01,83,76,8.66,SR,1597551956
rocha,-34.48,-54.33,42.48,65,0,8.23,UY,1597551956
cherskiy,68.75,161.3,56.62,43,89,1.59,RU,1597551956
kimbe,-5.55,150.14,83.03,80,67,4.29,PG,1597551867
luyang,27.62,110.1,90.61,51,4,8.25,CN,1597551957
portland,45.52,-122.68,87.01,45,1,3.04,US,1597551911
kiama,-34.68,150.87,62.01,60,91,24.0,AU,1597551957
constitucion,-35.33,-72.42,44.65,62,2,8.55,CL,1597551957
kavaratti,10.57,72.64,84.2,79,20,6.93,IN,1597551958
wanaka,-44.7,169.15,47.46,53,58,0.96,NZ,1597551958
taksimo,56.34,114.88,60.82,55,61,4.34,RU,1597551958
tuatapere,-46.13,167.68,48.99,74,45,4.0,NZ,1597551767
yumen,40.28,97.2,78.28,17,96,13.2,CN,1597551959
west richland,46.3,-119.36,84.0,30,1,5.08,US,1597551959
gombe,10.29,11.17,72.34,89,52,5.46,NG,1597551959
walvis bay,-22.96,14.51,46.99,87,0,4.7,NA,1597551678
opuwo,-18.06,13.84,51.53,57,0,3.51,NA,1597551960
salekhard,66.53,66.6,52.03,58,12,4.16,RU,1597551846
torbay,47.67,-52.73,48.0,93,5,4.7,CA,1597551960
novo aripuana,-5.12,-60.38,78.53,48,25,1.77,BR,1597551960
fort nelson,58.81,-122.7,62.6,67,75,4.7,CA,1597551961
yurty,56.05,97.63,67.32,46,4,10.42,RU,1597551961
aklavik,68.22,-135.01,50.0,76,90,2.24,CA,1597551851
los llanos de aridane,28.66,-17.92,73.99,73,75,13.87,ES,1597551962
obama,35.5,135.75,98.01,60,100,1.99,JP,1597551962
paita,-5.09,-81.11,61.79,85,37,8.55,PE,1597551963
waingapu,-9.66,120.26,85.93,53,0,10.54,ID,1597551964
lethem,3.38,-59.8,76.24,84,25,4.56,GY,1597551809
dauphin,51.15,-100.05,55.4,82,1,8.05,CA,1597551964
kambia,9.12,-12.92,74.07,96,100,1.99,SL,1597551965
aden,12.78,45.04,84.04,77,83,6.53,YE,1597551862
mareeba,-17.0,145.43,87.01,22,0,14.0,AU,1597551965
eureka,40.8,-124.16,66.99,76,0,1.88,US,1597551965
marsala,37.8,12.44,84.0,83,0,4.7,IT,1597551965
ylivieska,64.08,24.55,59.0,79,0,8.01,FI,1597551966
shahrud,36.42,54.98,71.08,47,0,14.54,IR,1597551966
harper,4.38,-7.72,74.77,80,72,10.16,LR,1597551822
ayagoz,47.97,80.44,71.64,25,0,11.74,KZ,1597551966
tambo grande,-4.93,-80.34,64.65,73,20,3.91,PE,1597551967
